Time,rdy,bsy,rd,wr,ka,log,dns,cls
Jan:08:2014:16:59:26,48,3,0,3,0,0,0,0
Jan:08:2014:16:59:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:00:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:00:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:01:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:01:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:02:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:02:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:03:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:03:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:04:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:04:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:05:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:05:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:06:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:06:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:07:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:07:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:08:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:08:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:09:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:09:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:10:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:10:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:11:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:11:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:12:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:12:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:13:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:13:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:14:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:14:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:15:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:15:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:16:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:16:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:17:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:17:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:18:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:18:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:19:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:19:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:20:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:20:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:21:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:21:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:22:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:22:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:23:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:23:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:24:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:24:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:25:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:25:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:26:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:26:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:27:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:27:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:28:26,48,3,0,3,0,0,0,0
Jan:08:2014:17:28:56,48,3,0,3,0,0,0,0
Jan:08:2014:17:29:26,26,100,0,100,0,0,0,0
Jan:08:2014:17:29:56,78,223,0,131,92,0,0,0
Jan:08:2014:17:30:26,35,93,0,46,43,0,0,4
Jan:08:2014:17:30:56,31,172,0,172,0,0,0,0
Jan:08:2014:17:31:26,50,178,0,176,2,0,0,0
Jan:08:2014:17:31:56,60,134,0,123,11,0,0,0
Jan:08:2014:17:32:26,35,43,0,33,10,0,0,0
Jan:08:2014:17:32:56,48,55,0,7,47,0,0,1
Jan:08:2014:17:33:26,56,47,0,6,41,0,0,0
Jan:08:2014:17:33:56,58,45,0,3,42,0,0,0
Jan:08:2014:17:34:26,62,41,0,5,36,0,0,0
Jan:08:2014:17:34:56,65,38,0,4,34,0,0,0
Jan:08:2014:17:35:26,63,40,0,8,32,0,0,0
Jan:08:2014:17:35:56,65,38,0,4,34,0,0,0
Jan:08:2014:17:36:26,69,34,0,7,27,0,0,0
Jan:08:2014:17:36:56,72,31,0,4,27,0,0,0
Jan:08:2014:17:37:26,74,29,0,4,25,0,0,0
Jan:08:2014:17:37:56,71,7,0,4,3,0,0,0
Jan:08:2014:17:38:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:38:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:39:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:39:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:40:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:40:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:41:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:41:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:42:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:42:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:43:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:43:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:44:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:44:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:45:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:45:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:46:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:46:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:47:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:47:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:48:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:48:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:49:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:49:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:50:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:50:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:51:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:51:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:52:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:52:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:53:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:53:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:54:26,72,6,0,3,3,0,0,0
Jan:08:2014:17:54:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:55:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:55:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:56:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:56:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:57:26,74,4,0,3,0,0,0,1
Jan:08:2014:17:57:56,74,4,0,3,0,0,0,1
Jan:08:2014:17:58:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:58:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:59:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:59:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:00:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:00:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:01:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:01:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:02:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:02:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:03:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:03:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:04:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:04:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:05:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:05:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:06:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:06:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:07:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:07:56,73,5,0,3,2,0,0,0
Jan:08:2014:18:08:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:08:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:09:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:09:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:10:26,75,3,0,3,0,0,0,0
